ID,kind,number,harai,ninki
201901010608,ワイド,1 - 9br9 - 16br1 - 16,"4,190br3,170br2,130",54br39br29
201901010608,馬単,9 → 1,30740,109
201901010608,三連複,1 - 9 - 16,37200,140
201901010608,三連単,9 → 1 → 16,348580,1141
201901010609,単勝,13,920,4
201901010609,複勝,13br1br3,200br130br140,5br1br2
201901010609,枠連,1 - 8,690,3
201901010609,馬連,1 - 13,1100,3
201901010609,ワイド,1 - 13br3 - 13br1 - 3,320br510br230,3br7br1
201901010609,馬単,13 → 1,3320,12
201901010609,三連複,1 - 3 - 13,1210,2
201901010609,三連単,13 → 1 → 3,11620,34
201901010610,単勝,12,340,1
201901010610,複勝,12br6br1,200br280br840,2br5br12
201901010610,枠連,4 - 7,930,4
201901010610,馬連,6 - 12,2120,7
201901010610,ワイド,6 - 12br1 - 12br1 - 6,"880br1,980br3,930",8br26br47
201901010610,馬単,12 → 6,3110,6
201901010610,三連複,1 - 6 - 12,34180,118
201901010610,三連単,12 → 6 → 1,98060,353
201901010611,単勝,4,610,2
201901010611,複勝,4br13br6,190br660br370,2br9br5
201901010611,枠連,3 - 8,1120,4
201901010611,馬連,4 - 13,9220,28
201901010611,ワイド,4 - 13br4 - 6br6 - 13,"2,430br880br3,520",28br9br36
201901010611,馬単,4 → 13,14490,45
201901010611,三連複,4 - 6 - 13,21140,62
201901010611,三連単,4 → 13 → 6,143000,377
201901010612,単勝,6,1360,7
201901010612,複勝,6br13br14,390br350br590,6br5br9
201901010612,枠連,4 - 8,3830,17
201901010612,馬連,6 - 13,7070,32
201901010612,ワイド,6 - 13br6 - 14br13 - 14,"2,310br2,640br2,450",32br37br34
201901010612,馬単,6 → 13,13910,60
201901010612,三連複,6 - 13 - 14,27270,105
201901010612,三連単,6 → 13 → 14,181040,646
201901020101,単勝,7,890,2
201901020101,複勝,7br1br5,180br110br470,2br1br8
201901020101,枠連,1 - 7,450,2
201901020101,馬連,1 - 7,480,1
201901020101,ワイド,1 - 7br5 - 7br1 - 5,"220br2,080br850",1br22br13
201901020101,馬単,7 → 1,1710,5
201901020101,三連複,1 - 5 - 7,3740,13
